,Year,Month,State,Location,Food,Ingredient,Species,Serotype/Genotype,Status,Illnesses,Hospitalizations,Fatalities
0,1998,January,California,Restaurant,,,,,,20,0.0,0.0
3,1998,January,California,Restaurant,"Fish, Ahi",,Scombroid toxin,,Confirmed,4,0.0,0.0
5,1998,January,California,Restaurant,,,Shigella boydii,,Confirmed,25,3.0,0.0
6,1998,January,California,Restaurant,,,,,,8,0.0,0.0
7,1998,January,California,Restaurant,"Stuffing, Unspecified; Sandwich, Turkey",,Salmonella enterica,Enteritidis,Confirmed,4,3.0,0.0
8,1998,January,Colorado,Restaurant,"Salad, Unspecified",,Virus,,Suspected,21,,
9,1998,January,Colorado,Restaurant,"Peppers, Chili",,Virus,,Suspected,3,,0.0
10,1998,January,Colorado,Grocery Store,,,Virus,,Suspected,8,,
12,1998,January,Colorado,Private Home/Residence,,,Virus,,Suspected,10,,
13,1998,January,Florida,Restaurant,Chicken Salad,,,,,2,,
14,1998,January,Florida,Restaurant,"Hot Dog, Kielbasa",,,,,3,0.0,0.0
15,1998,January,Florida,Restaurant,"Ethnic Style, Unspecified",,Clostridium perfringens,,Suspected,3,0.0,0.0
16,1998,January,Florida,Restaurant,Greek Salad,,Norovirus genogroup I,,Suspected,2,,
17,1998,January,Florida,Restaurant,"Ground Beef, Cheeseburger",,Staphylococcus aureus,,Suspected,2,0.0,0.0
18,1998,January,Florida,Restaurant,"Pasta, Unspecified",,Bacillus cereus,,Suspected,2,0.0,0.0
19,1998,January,Florida,Restaurant,"Sauces, Unspecified; Tuna, Unspecified",,Scombroid toxin,,Suspected,2,2.0,0.0
20,1998,January,Florida,Restaurant,"Sandwich, Chicken",,Campylobacter unknown,,Confirmed,3,1.0,0.0
21,1998,January,Florida,Restaurant,"Chicken, Unspecified",,,,,3,0.0,0.0
22,1998,January,Florida,Restaurant,"Chicken, Fried",,Bacillus cereus,,Suspected,5,0.0,0.0
23,1998,January,Florida,Restaurant,"Doughnuts, Unspecified",,,,,3,0.0,0.0
24,1998,January,Florida,Restaurant,"Tomato Sauce, Unspecified",,,,,5,0.0,0.0
25,1998,January,Florida,Restaurant,"Steak, Unspecified",,,,,2,0.0,0.0
26,1998,January,Florida,Restaurant,Unknown Food,,,,,2,0.0,0.0
27,1998,January,Florida,Restaurant,"Chicken, Nuggets/Fingers; French Fries; Soda, Unspecified",,,,,2,1.0,0.0
28,1998,January,Florida,Private Home/Residence,"Turkey, Unspecified",,,,,18,5.0,0.0
30,1998,January,Florida,Grocery Store,"Pork, Unspecified",,,,,2,0.0,0.0
31,1998,January,Florida,Restaurant,"Salmon, Raw; Tuna, Raw",,Campylobacter unknown,,Suspected,3,,
32,1998,January,Guam,Private Home/Residence,"Other Milk, Unspecified",,,,,2,,
34,1998,January,Hawaii,Private Home/Residence,"Fish, Grouper, Unspecified",,Ciguatoxin,,Confirmed,3,0.0,0.0
35,1998,January,Hawaii,Private Home/Residence,"Fish, Mahi Mahi",,Scombroid toxin,,Confirmed,2,0.0,0.0
36,1998,January,Hawaii,Restaurant,"Fish, Ahi",,Scombroid toxin,,Confirmed,2,0.0,0.0
37,1998,January,Illinois,Restaurant,,,,,,4,0.0,0.0
38,1998,January,Illinois,,,,,,,11,0.0,0.0
39,1998,January,Illinois,Restaurant,,,,,,4,1.0,
40,1998,January,Indiana,Restaurant,,,Shigella flexneri,Serotype 6,Confirmed,25,3.0,0.0
41,1998,January,Maryland,Private Home/Residence,"Ground Beef, Unspecified",,,,,3,,0.0
42,1998,January,Maryland,Restaurant,Chicken Salad,,Clostridium perfringens,,Suspected,3,0.0,0.0
43,1998,January,Maryland,Restaurant,"Burrito, Chicken",,Salmonella enterica,Enteritidis,Confirmed,4,0.0,0.0
44,1998,January,Maryland,Restaurant,,,Hepatitis A,,Confirmed,21,,
45,1998,January,Maryland,Restaurant,,,Bacillus cereus,,Suspected,3,0.0,0.0
46,1998,January,Maryland,Restaurant,,,,,,2,,0.0
47,1998,January,Maryland,Restaurant,,,,,,2,0.0,0.0
48,1998,January,Maryland,Restaurant,"Rice, Unspecified; Chicken, Unspecified; Pork, Unspecified",,,,,3,,0.0
49,1998,January,Maryland,Restaurant,"Cake, Tiramisu; Eggs, Other",,Salmonella enterica,Enteritidis,Confirmed,8,0.0,0.0
50,1998,January,Maryland,Private Home/Residence,Chicken Salad,,Salmonella enterica,Typhimurium,Confirmed,5,1.0,0.0
51,1998,January,Maryland,Restaurant,Chicken Fried Rice,,Clostridium perfringens,,Suspected,4,0.0,0.0
52,1998,January,Maryland,Restaurant,,,,,,4,0.0,0.0
55,1998,January,Michigan,,"Chicken, Unspecified; Cake, Cheese",,,,,2,,
56,1998,January,Michigan,,"Macaroni And Cheese; Chicken, Unspecified",,,,,6,,
57,1998,January,Michigan,,Multiple Foods,,,,,5,,
58,1998,January,Michigan,Restaurant,"Eggs, Unspecified; Pork, Bacon; Potato, Unspecified",,,,,2,,
61,1998,January,Michigan,Restaurant,"Ground Beef, Cheeseburger",,,,,4,,0.0
62,1998,January,Michigan,Restaurant,"Rice, Unspecified; Lettuce, Unspecified",,,,,5,0.0,0.0
63,1998,January,Michigan,,"Sandwich, Roast Beef",,,,,2,0.0,0.0
64,1998,January,Michigan,Restaurant,"Soup Unspecified; Stew/Chili, Unspecified; Steak, Unspecified",,,,,3,3.0,0.0
65,1998,January,Michigan,Restaurant,"Pizza, Unspecified",,,,,19,,
66,1998,January,Michigan,Restaurant,"Eggs, Unspecified",,,,,3,,
67,1998,January,Minnesota,,,,Shigella sonnei,,Confirmed,19,0.0,0.0
68,1998,January,Minnesota,Restaurant,Blue Cheese Dressing,,,,,16,0.0,0.0
69,1998,January,Multistate,Private Home/Residence,"Eggnog, Homemade",,Salmonella enterica,Enteritidis,Confirmed,4,0.0,0.0
70,1998,January,New York,Restaurant,,,Salmonella enterica,Group D1,Confirmed,3,1.0,0.0
71,1998,January,New York,,"Sausage, Dried",,Salmonella enterica,Group B,Confirmed,2,,
73,1998,January,North Carolina,Catering Service,,,Norovirus genogroup I,,Suspected,8,,
74,1998,January,Ohio,Restaurant,,,,,,2,0.0,0.0
75,1998,January,Ohio,Restaurant,,,,,,3,0.0,0.0
78,1998,January,Ohio,Restaurant,"Pizza, Pepperoni",,,,,4,,
